names civil rights,names confederate,street name
,Abraham Buford II,Buford Ave
,Absolom M. West,West Ave
,Alexander W. Campbell,Campbell Ave
,Alexander William Campbell ,Campbell Ave
,Allen Thomas,Thomas St
,Ambrose R. Wright,Wright Ave
,Benjamin F. Cheatham,Cheatham St
,Benjamin Franklin Gordon,Gordon Ave
,Benjamin Stephen Hooper,E Hooper St
,Benjamin Stephen Hooper,E Hooper St Exd
,Benjamin Stephen Hooper,W Hooper St
,Braxton Bragg,Bragg St
,Bryan M. Thomas,Thomas St
,Charles Sidney Winder,Winder St
,Charles S. Thomas,Thomas St
,Charles W. Adams,N Adams St
,Charles W. Adams,S Adams St
,Christopher C. Bowen,Bowen St
,Dabney H. Maury,Maury St
,Daniel Weisiger Adams,N Adams St
,Daniel Weisiger Adams,S Adams St
,David Gardiner Tyler,Tyler St
,Douglas H. Cooper,Cooper Rd
,Edmund Kirby Smith,Smith St
,Edmund Pettus,Pettus Rd
,Edward Lloyd Thomas,Thomas St
,Elkanah Greer,Greer Ave
,Francis Marion Walker,Walker St
,Frank A. Montgomery,Montgomery St
,George D. Wise,Wise St
,George E. Dixon,Dixon Dr
,George W. Randolph,Randolph St
,George W. Randolph,S Randolph St
,Goode Bryan,Bryan Park Ave
,Goode Bryan,Bryan St
,Gustavus Woodson Smith,Smith St
,Henry Gray ,Gray St
,Henry Harrison Walker,Walker St
,Henry Marshall Ashby,Ashby Way
,Henry Watkins Allen,N Allen Ave
,Henry Watkins Allen,S Allen Ave
,Humphrey Marshall ,E Marshall St
,Humphrey Marshall ,W Marshall St
,James A. Walker,Walker St
,James B. Gordon,Gordon Ave
,James E. Harrison,N Harrison St
,James E. Harrison,S Harrison St
,James Harvey Carson,Carson St
,James Hoge Tyler,Tyler St
,James L. Kemper,Kemper St
,James Norton ,Norton St
,James William Boyd,Boyd St
,Jeremy Francis Gilmer,Gilmer St
,John Adams ,N Adams St
,John Adams ,S Adams St
,John A. Wharton,Wharton Rd
,John B. Grayson,Grayson St
,John George Walker,Walker St
,John Lamb ,Lamb Ave
,John May Taylor,Taylor Ave
,John Selden Roane,Roane St
,John Sergeant Wise,Wise St
,John S. Preston,E Preston St
,John Thomas Lewis Preston,E Preston St
,John W. Daniel,Daniel St
,John W. Lawson,Lawson St
,Joseph Horace Lewis,Lewis Ave
,Joseph O. Shelby,Shelby Dr
,Josiah Patterson,Patterson Ave
,Junius Daniel,Daniel St
,Leroy Augustus Stafford,N Stafford Ave
,Leroy Augustus Stafford,S Stafford Ave
,LeRoy Pope Walker,Walker St
,Levin Major Lewis,Lewis Ave
,Lucius B. Northrop,Northrop St
,Lucius M. Walker,Walker St
,Lucius Quintus Cincinnatus Lamar II,Lamar Dr
,Marcellus Jerome Clarke,Clarke Rd
,Marcus Joseph Wright,Wright Ave
,Martin Luther Smith,Smith St
,M. Jeff Thompson,N Thompson St
,M. Jeff Thompson,S Thompson St
,Nathan Bedford Forrest,Forrest Hill Ave
,Nathan George Evans,Evans St
,Oran Milo Roberts,E Roberts St
,Oran Milo Roberts,Roberts St
,Oran Milo Roberts,W Roberts St
,Philip B. Thompson Jr.,N Thompson St
,Philip B. Thompson Jr.,S Thompson St
,Raphael Semmes,Semmes Ave
,Reuben Lindsay Walker,Walker St
,Richard Alsop Wise,Wise St
,Richard Chichester Mason,Mason St
,Robert Lowry ,Lowry St
,Roswell S. Ripley,Ripley Ave
,Samuel Gibbs French,French St
,Samuel I. Hopkins,Hopkins Ct
,Samuel I. Hopkins,Hopkins Ln
,Samuel I. Hopkins,Hopkins Rd
,Samuel I. Hopkins,N Hopkins Rd
,Samuel I. Hopkins,Old Hopkins Rd
,Seth Barton,Barton Ave
,Sterling Price,Price St
,Thomas Benton Smith,Smith St
,Thomas Bothwell Jeter,Jeter Ave
,Thomas Harrison ,N Harrison St
,Thomas Harrison ,S Harrison St
,Thomas H. Taylor,Taylor Ave
,Thomas Jordan Jarvis,Jarvis Rd
,Thomas T. Munford,Munford St
,Thomas Whitehead,Whitehead Rd
,William Duncan Smith,Smith St
,William Dunlap Simpson,Simpson Ave
,William F. Perry,Perry St
,William G. Lewis,Lewis Ave
,William Henry Carroll,Carroll St
,William Henry Wallace,Wallace St
,William H. Perry,Perry St
,William Hugh Young,Young St
,William Miller ,Miller Ave
,William Paul Roberts,E Roberts St
,William Paul Roberts,Roberts St
,William Paul Roberts,W Roberts St
,William Preston ,E Preston St
,William Smith ,Smith St
,William Stephen Walker,Walker St
,William Wirt Adams,N Adams St
,William Wirt Adams,S Adams St
,W. Jasper Talbert,Talbert Dr
,Young Marshall Moody,Moody Ave
C. L. Franklin,,E Franklin St
C. L. Franklin,,W Franklin St
Ernestine Rose,,Rose Ave
Sadie Tanner Mossell Alexander,,Alexander Ave
Xernona Clayton,,Clayton Dr
