street name	stripped name
Abbey Rd	Abbey
Access Rd	Access
Accomac St	Accomac
Accommodation St	Accommodation
Acorn Ln	Acorn
Adler Rd	Adler
Admiral Gravely Blvd	Admiral Gravely
Admiral St	Admiral
Afton Ave	Afton
Agency Ave	Agency
Akron St	Akron
Alaska Dr	Alaska
Albany Ave	Albany
Albemarle Ave	Albemarle
Albemarle St	Albemarle
Alberene Rd	Alberene
Alder St	Alder
Alexander Ave	Alexander
Algoma St	Algoma
Allison St	Allison
Allwood Ave	Allwood
Alma Ave	Alma
Almond Ave	Almond
Alpine Ave	Alpine
Altamont Ave	Altamont
Althea Pkwy	Althea
Althea St	Althea
Alvis Ave	Alvis
Amanda Dr	Amanda
Amberly Rd	Amberly
Ambler St	Ambler
Ambrose St	Ambrose
Amelia St	Amelia
Amherst Ave	Amherst
Ammonett Dr	Ammonett
Ampthill Rd	Ampthill
Ander Ct	Ander
Andros Rd	Andros
Angela Dr	Angela
Angus Rd	Angus
Anne St	Anne
Anniston St	Anniston
Ansel St	Ansel
Antrim Ave	Antrim
Apache Ct	Apache
Apache Pl	Apache
Apache Rd	Apache
Apperson St	Apperson
Appomattox St	Appomattox
Aracoma Dr	Aracoma
Arcadia St	Arcadia
Archdale Rd	Archdale
Archer Ave	Archer
Arch St	Arch
Archwood Rd	Archwood
Ardendale Rd	Ardendale
Argall St	Argall
Argyle Ter	Argyle
Arizona Ct	Arizona
Arizona Dr	Arizona
Arizona Pl	Arizona
Arklow Rd	Arklow
Arlie St	Arlie
Arlington Rd	Arlington
Armfield Rd	Armfield
Arnold Ave	Arnold
Arnwood Rd	Arnwood
Arran Rd	Arran
Arrowhead Rd	Arrowhead
Ashby Way	Ashby
Ashdown Rd	Ashdown
Ashley Park	Ashley
Ashley St	Ashley
Atlantic Ave	Atlantic
Atmore Dr	Atmore
Atwell Dr	Atwell
Atwell Ln	Atwell
Augusta Ave	Augusta
Autumn Ln	Autumn
Avella Springs Ct	Avella Springs
Ave of Champions	of Champions
Avondale Ave	Avondale
Avonmore Rd	Avonmore
Avon Rd	Avon
Axtell St	Axtell
Azalea Ave	Azalea
Bailey St	Bailey
Bainbridge St	Bainbridge
Balding St	Balding
Balfour St	Balfour
Balsam Rd	Balsam
Banbury Rd	Banbury
Bancroft Ave	Bancroft
Bandy Rd	Bandy
Bangle Dr	Bangle
Bank St	Bank
Bannister Ln	Bannister
Banton St	Banton
Barcroft Ln	Barcroft
Barlen Dr	Barlen
Barningham Rd	Barningham
Baronet Dr	Baronet
Barriedale Rd	Barriedale
Barry St	Barry
Bartee Rd	Bartee
Barth Rd	Barth
Barton Ave	Barton
Bashford Ln	Bashford
Bassett Ave	Bassett
Bathgate Rd	Bathgate
Bathgate Ter	Bathgate
Bath St	Bath
Bathurst Rd	Bathurst
Baywood Ct	Baywood
Beattie St	Beattie
Beauchamp Ct	Beauchamp
Beaufont Ct	Beaufont
Beaufont Hills Ct	Beaufont Hills
Beaufont Hills Dr	Beaufont Hills
Beaufont Ter	Beaufont
Beaumont Ave	Beaumont
Beddington Rd	Beddington
Bedrock Ln	Bedrock
Beechmont Rd	Beechmont
Belfry Ct	Belfry
Bellemeade Rd	Bellemeade
Belleville St	Belleville
Bellevue Ave	Bellevue
Bellingham Ln	Bellingham
Bells Rd	Bells
Bells Rd Access Rd	Bells  Access Rd
Belmont Ct	Belmont
Belmont Rd	Belmont
Belt Blvd	Belt
Belt Blvd Exd	Belt
Bemiss Ct	Bemiss
Bemiss Rd	Bemiss
Berclair Ave	Berclair
Bergen Dr	Bergen
Berkley Ln	Berkley
Berkley Rd	Berkley
Berkshire Rd	Berkshire
Berrington Ct	Berrington
Berry Rd	Berry
Berry St	Berry
Berrywood Rd	Berrywood
Bertram Rd	Bertram
Berwick Rd	Berwick
Berwyn St	Berwyn
Bethany Dr	Bethany
Bethel St	Bethel
Bevridge Rd	Bevridge
Bewdley Rd	Bewdley
Bicknell Rd	Bicknell
Biggs Rd	Biggs
Bingham Dr	Bingham
Bingham Rd	Bingham
Binns Ave	Binns
Birch St	Birch
Birdwood Rd	Birdwood
Bittersweet Rd	Bittersweet
Blacker St	Blacker
Blackrock Dr	Blackrock
Blaine Rd	Blaine
Blair St	Blair
Blakemore Rd	Blakemore
Blakey St	Blakey
Bland St	Bland
Blandwood Rd	Blandwood
Blandy Ave	Blandy
Blanton Ave	Blanton
Blendwell Rd	Blendwell
Bliley Rd	Bliley
Blithewood Dr	Blithewood
Blue Ridge Ave	Blue Ridge
Blue Shingles Ln	Blue Shingles
Bluff Dr	Bluff
Boat Lake Dr	Boat
Boatwright Dr	Boatwright
Bolling Ave	Bolling
Bolton Rd	Bolton
Bondsor Ln	Bondsor
Bonmark Dr	Bonmark
Bonnington Ct	Bonnington
Bonnington Rd	Bonnington
Boroughbridge Rd	Boroughbridge
Boscobel Ave	Boscobel
Boston Ave	Boston
Bostwick Ln	Bostwick
Botetourt St	Botetourt
Boulder Creek Dr	Boulder Creek
Boulevard W	Boulevard
Bowen St	Bowen
Bowe St	Bowe
Bowland Rd	Bowland
Bowling Green Rd	Bowling
Boxley St	Boxley
Boyd St	Boyd
Boynton Pl	Boynton
Bradford Rd	Bradford
Bradley Ln	Bradley
Bradwill Rd	Bradwill
Brady St	Brady
Braeside Dr	Braeside
Bragg St	Bragg
Braidwood Rd	Braidwood
Brame St	Brame
Bramwell Rd	Bramwell
Branch Ave	Branch
Branchwood Dr	Branchwood
Brander St	Brander
Brandon Ln	Brandon
Brandon Rd	Brandon
Brauers Ln	Brauers
Breckenridge Rd	Breckenridge
Briarcliff Rd	Briarcliff
Briary Dr	Briary
Bridgeton Rd	Bridgeton
Briel St	Briel
Brinkwood Ct	Brinkwood
Brinkwood Dr	Brinkwood
Brinser St	Brinser
Brisbane Dr	Brisbane
Britannia Rd	Britannia
Brittwood Dr	Brittwood
Broach Dr	Broach
Broadingham Rd	Broadingham
Broad Rock Blvd	Broad
Broad Rock Rd	Broad
Brockenbrough Ln	Brockenbrough
Bromley Ln	Bromley
Brookbury Blvd	Brookbury
Brookfield St	Brookfield
Brookhaven Rd	Brookhaven
Brookhill Azalea Shopping Center	Brookhill Azalea Shopping Center
Brookland Pkwy	Brookland
Brookline St	Brookline
Brookside Rd	Brookside
Brownleaf Dr	Brownleaf
Brown St	Brown
Bruce St	Bruce
Bruton Rd	Bruton
Bryan Park Ave	Bryan
Bryan St	Bryan
Bryce Ln	Bryce
Buckhill Rd	Buckhill
Buckingham Ave	Buckingham
Buford Ave	Buford
Bulheller Rd	Bulheller
Bunche Pl	Bunche
Bundy Ave	Bundy
Bunn Ave	Bunn
Bunting Ave	Bunting
Burfoot St	Burfoot
Burgain Ct	Burgain
Burgain Rd	Burgain
Burgundy Rd	Burgundy
Burns St	Burns
Burrundie Dr	Burrundie
Burton St	Burton
Burtwood Ln	Burtwood
Bute Ln	Bute
