confederates
Perrin Abner Monroe
Buford Abraham  II
West Absolom M.
Garlington Albert Creswell
Blanchard Albert G.
Jenkins Albert G.
Johnston Albert Sidney
Marks Albert S.
DeBlanc Alcibiades
Boarman Alexander
Davis Alexander
Steen Alexander E.
Mathews Alexander F.
Lawton Alexander
Stewart Alexander P.
Hawthorn Alexander Travis
Campbell Alexander W.
Campbell Alexander William
Reynolds Alexander W.
Cumming Alfred
Jackson Alfred E.
Colquitt Alfred H.
Scales Alfred Moore
Mouton Alfred
Thomas Allen
Wright Ambrose R.
Barbee Andrew Russell  Jr.
Hill A. P.
Phlegar Archer Allen
Godwin Archibald C.
Gracie Archibald  III
Dobbins Archibald S.
MacIntyre Archibald T.
Elzey Arnold
Manigault Arthur Middleton
Chapman Augustus A.
Bee Barnard Elliott  Jr.
Duke Basil W.
Anderson Benjamin
Cheatham Benjamin F.
Gordon Benjamin Franklin
Humphreys Benjamin G.
Helm Benjamin Hardin
Huger Benjamin
Hill Benjamin J.
McCulloch Benjamin
Hooper Benjamin Stephen
Douglas Beverly B.
Robertson Beverly
Fry Birkett D.
Bragg Braxton
Grimes Bryan
Thomas Bryan M.
Wilcox Cadmus M.
Polignac Camille Armand Jules Marie Prince de
Posey Carnot
Stevenson Carter L.
Clark Charles
Dahlgren Charles G.
Faulkner Charles J.
Stedman Charles Manly
Shelley Charles M.
Winder Charles Sidney
Thomas Charles S.
O'Ferrall Charles Triplett
Adams Charles W.
Field Charles W.
Bowen Christopher C.
Wilson Claudius C.
Sears Claudius W.
Stevens Clement H.
Leventhorpe Collett
Greene Colton
Battle Cullen A.
Maury Dabney H.
McRae Dandridge
Govan Daniel
Hill Daniel Harvey
Reynolds Daniel H.
Frost Daniel M.
Ruggles Daniel
Donelson Daniel Smith
Adams Daniel Weisiger
Leadbetter Danville
Weisiger David A.
Harris David Bullock
Twiggs David E.
Tyler David Gardiner
Giddings Dewitt Clinton
Cooper Douglas H.
DuBose Dudley M.
Guerillas Dunbar's
Teague E. B.
Smith Edmund Kirby
Pettus Edmund
O'Neal Edward A.
Clark Edward
Walthall Edward C.
Higgins Edward
Thomas Edward Lloyd
Lee Edwin Gray
Greer Elkanah
Capers Ellison
Robertson Felix Huston
Lee Fitzhugh
Cockrell Francis
Walker Francis Marion
Montgomery Frank A.
Rains Gabriel J.
Tochman Gaspar
Porterfield George A.
Hodge George Baird
Cosby George B.
Crittenden George B.
Cabell George
Tillman George D.
Wise George D.
Dixon George E.
Dibrell George Gibbs
Steuart George H.
Johnstone George
Maney George
Doles George P.
Pickett George
Anderson George T.
Garrison George Tankard
Barnes George Thomas
Lee George Washington Custis
Jones George Washington
Croft George W.
Dargan George W.
Johnson George W.
Randolph George W.
Shell George W.
Meem Gilbert S.
Bryan Goode
Smith Gustavus Woodson
Bee Hamilton P.
Hays Harry T.
Gray Henry
Walker Henry Harrison
Heth Henry
Sibley Henry Hopkins
Benning Henry L.
Ashby Henry Marshall
Mathews Henry M.
Ogden Henry Warren
Hilliard Henry Washington
Allen Henry Watkins
Granbury Hiram B.
